round,client,step,semantic_score,energy
2,0,43,0.37,0.064
2,0,44,0.368,0.078
2,0,45,0.371,0.0582
2,0,46,0.374,0.0476
2,0,47,0.371,0.0644
2,0,48,0.37,0.0638
2,0,49,0.37,0.058
3,2,0,0.359,0.1197
3,2,1,0.355,0.1354
3,2,2,0.371,0.0699
3,2,3,0.367,0.0833
3,2,4,0.358,0.12
3,2,5,0.359,0.12
3,2,6,0.352,0.1537
3,2,7,0.358,0.12
3,2,8,0.353,0.1337
3,2,9,0.361,0.1042
3,2,10,0.364,0.0969
3,2,11,0.369,0.0664
3,2,12,0.354,0.1396
3,2,13,0.355,0.1336
3,2,14,0.355,0.152
3,2,15,0.359,0.12
3,2,16,0.367,0.0823
3,2,17,0.367,0.0917
3,2,18,0.356,0.134
3,2,19,0.363,0.0936
3,2,20,0.36,0.1128
3,2,21,0.355,0.1368
3,2,22,0.365,0.0845
3,2,23,0.362,0.1065
3,2,24,0.366,0.0798
3,2,25,0.354,0.148
3,2,26,0.368,0.084
3,2,27,0.364,0.0905
3,2,28,0.379,0.02
3,2,29,0.362,0.1052
3,2,30,0.371,0.0544
3,2,31,0.352,0.148
3,2,32,0.356,0.1338
3,2,33,0.359,0.12
3,2,34,0.362,0.0985
3,2,35,0.365,0.081
3,2,36,0.356,0.1329
3,2,37,0.364,0.0921
3,2,38,0.366,0.0837
3,2,39,0.353,0.1481
3,2,40,0.358,0.12
3,2,41,0.354,0.1396
3,2,42,0.358,0.12
3,2,43,0.358,0.12
3,2,44,0.351,0.1524
3,2,45,0.365,0.0984
3,2,46,0.357,0.1242
3,2,47,0.365,0.0988
3,2,48,0.371,0.0684
3,2,49,0.356,0.1329
3,1,0,0.367,0.074
3,1,1,0.37,0.0587
3,1,2,0.369,0.0661
3,1,3,0.369,0.0633
3,1,4,0.374,0.0457
3,1,5,0.372,0.0575
3,1,6,0.369,0.0601
3,1,7,0.369,0.0685
3,1,8,0.367,0.074
3,1,9,0.369,0.0632
3,1,10,0.37,0.06
3,1,11,0.377,0.0404
3,1,12,0.379,0.026
3,1,13,0.368,0.074
3,1,14,0.366,0.0828
3,1,15,0.372,0.0564
3,1,16,0.371,0.0619
3,1,17,0.372,0.0524
3,1,18,0.371,0.0532
3,1,19,0.372,0.0576
3,1,20,0.378,0.028
3,1,21,0.367,0.0776
3,1,22,0.368,0.066
3,1,23,0.375,0.038
3,1,24,0.373,0.0533
3,1,25,0.369,0.074
3,1,26,0.371,0.0571
3,1,27,0.372,0.0505
3,1,28,0.367,0.0764
3,1,29,0.38,0.0268
3,1,30,0.373,0.0554
3,1,31,0.367,0.08
3,1,32,0.367,0.0677
3,1,33,0.373,0.0565
3,1,34,0.373,0.0561
3,1,35,0.375,0.0506
3,1,36,0.377,0.032
3,1,37,0.373,0.05
3,1,38,0.369,0.0673
3,1,39,0.373,0.0504
3,1,40,0.37,0.0692
3,1,41,0.371,0.0539
3,1,42,0.368,0.0664
3,1,43,0.367,0.0696
3,1,44,0.37,0.0692
3,1,45,0.368,0.0744
3,1,46,0.37,0.0668
3,1,47,0.37,0.064
3,1,48,0.369,0.0535
3,1,49,0.37,0.0589
3,0,0,0.373,0.0648
3,0,1,0.373,0.0556
3,0,2,0.367,0.0805
3,0,3,0.374,0.0317
3,0,4,0.373,0.0526
3,0,5,0.377,0.0256
3,0,6,0.37,0.0607
3,0,7,0.371,0.0624
3,0,8,0.381,0.0218
3,0,9,0.378,0.0226
3,0,10,0.373,0.0489
3,0,11,0.371,0.0544
3,0,12,0.371,0.0624
3,0,13,0.371,0.0592
3,0,14,0.374,0.0452
3,0,15,0.374,0.0447
3,0,16,0.372,0.0519
3,0,17,0.371,0.0642
3,0,18,0.373,0.0565
3,0,19,0.369,0.0651
3,0,20,0.372,0.056
3,0,21,0.378,0.0295
3,0,22,0.38,0.0298
3,0,23,0.37,0.07
3,0,24,0.371,0.0597
3,0,25,0.374,0.0504
3,0,26,0.372,0.0528
3,0,27,0.373,0.0519
3,0,28,0.371,0.0558
3,0,29,0.377,0.0318
3,0,30,0.376,0.0288
3,0,31,0.374,0.0472
3,0,32,0.369,0.0603
3,0,33,0.375,0.0469
3,0,34,0.377,0.0234
3,0,35,0.374,0.0498
3,0,36,0.374,0.0476
3,0,37,0.378,0.028
3,0,38,0.373,0.0458
3,0,39,0.37,0.0631
3,0,40,0.378,0.0228
3,0,41,0.369,0.0657
3,0,42,0.373,0.0494
3,0,43,0.374,0.0463
3,0,44,0.37,0.062
3,0,45,0.367,0.0628
3,0,46,0.37,0.07
3,0,47,0.371,0.0542
3,0,48,0.369,0.0706
3,0,49,0.371,0.0535
4,2,0,0.355,0.134
4,2,1,0.368,0.079
4,2,2,0.356,0.1344
4,2,3,0.366,0.0769
4,2,4,0.368,0.0702
4,2,5,0.356,0.12
4,2,6,0.359,0.12
4,2,7,0.356,0.1357
4,2,8,0.366,0.086
4,2,9,0.36,0.1265
4,2,10,0.371,0.0524
4,2,11,0.36,0.1052
4,2,12,0.36,0.1065
4,2,13,0.375,0.0344
4,2,14,0.36,0.12
4,2,15,0.368,0.076
4,2,16,0.353,0.149
4,2,17,0.367,0.0826
4,2,18,0.355,0.1382
4,2,19,0.367,0.0745
4,2,20,0.354,0.1477
4,2,21,0.363,0.0932
4,2,22,0.359,0.1128
4,2,23,0.357,0.1273
4,2,24,0.351,0.154
4,2,25,0.362,0.0924
4,2,26,0.366,0.0798
4,2,27,0.351,0.1468
4,2,28,0.357,0.1157
4,2,29,0.364,0.0896
4,2,30,0.356,0.128
4,2,31,0.36,0.1
4,2,32,0.357,0.1268
4,2,33,0.358,0.122
4,2,34,0.353,0.1497
4,2,35,0.368,0.0696
4,2,36,0.353,0.1458
4,2,37,0.354,0.1373
4,2,38,0.356,0.134
4,2,39,0.352,0.154
4,2,40,0.373,0.0524
4,2,41,0.359,0.12
4,2,42,0.359,0.12
4,2,43,0.357,0.1316
4,2,44,0.375,0.0369
4,2,45,0.365,0.0952
4,2,46,0.364,0.091
4,2,47,0.359,0.1208
4,2,48,0.355,0.1344
4,2,49,0.358,0.127
4,3,0,0.346,0.184
4,3,1,0.35,0.167
4,3,2,0.357,0.126
4,3,3,0.356,0.1323
4,3,4,0.364,0.0809
4,3,5,0.347,0.184
4,3,6,0.35,0.168
4,3,7,0.361,0.1043
4,3,8,0.348,0.1721
4,3,9,0.358,0.1269
4,3,10,0.347,0.1733
4,3,11,0.363,0.092
4,3,12,0.36,0.1113
4,3,13,0.358,0.1226
4,3,14,0.362,0.1085
4,3,15,0.359,0.1142
4,3,16,0.346,0.184
4,3,17,0.358,0.1216
4,3,18,0.35,0.1595
4,3,19,0.354,0.1518
4,3,20,0.362,0.1037
4,3,21,0.353,0.1454
4,3,22,0.358,0.1284
4,3,23,0.348,0.1808
4,3,24,0.349,0.1693
4,3,25,0.358,0.1162
4,3,26,0.346,0.1777
4,3,27,0.35,0.1668
4,3,28,0.348,0.1725
4,3,29,0.358,0.1301
4,3,30,0.354,0.141
4,3,31,0.356,0.13
4,3,32,0.347,0.1748
4,3,33,0.348,0.1776
4,3,34,0.361,0.1007
4,3,35,0.346,0.184
4,3,36,0.354,0.1546
4,3,37,0.346,0.1772
4,3,38,0.346,0.1807
4,3,39,0.356,0.1245
4,3,40,0.348,0.1776
4,3,41,0.357,0.1357
4,3,42,0.356,0.1414
4,3,43,0.351,0.1608
4,3,44,0.354,0.1365
4,3,45,0.347,0.1792
4,3,46,0.355,0.142
4,3,47,0.35,0.1672
4,3,48,0.347,0.1782
4,3,49,0.364,0.0912
4,1,0,0.372,0.0614
4,1,1,0.374,0.0443
4,1,2,0.376,0.032
4,1,3,0.374,0.0465
4,1,4,0.378,0.0279
4,1,5,0.372,0.0629
4,1,6,0.375,0.0485
4,1,7,0.371,0.0673
4,1,8,0.37,0.0663
4,1,9,0.376,0.0397
4,1,10,0.37,0.0632
4,1,11,0.368,0.0736
4,1,12,0.368,0.0747
4,1,13,0.372,0.052
4,1,14,0.377,0.0312
4,1,15,0.376,0.038
4,1,16,0.369,0.071
4,1,17,0.373,0.04
4,1,18,0.37,0.0591
4,1,19,0.371,0.0612
4,1,20,0.369,0.0637
4,1,21,0.378,0.032
4,1,22,0.376,0.032
4,1,23,0.37,0.0649
4,1,24,0.371,0.0564
4,1,25,0.373,0.0482
4,1,26,0.374,0.0523
4,1,27,0.365,0.0833
4,1,28,0.368,0.0693
4,1,29,0.377,0.028
4,1,30,0.371,0.0507
4,1,31,0.373,0.042
4,1,32,0.369,0.0661
4,1,33,0.375,0.0467
4,1,34,0.37,0.0668
4,1,35,0.374,0.0435
4,1,36,0.371,0.0596
4,1,37,0.372,0.055
4,1,38,0.371,0.0634
4,1,39,0.37,0.062
4,1,40,0.367,0.082
4,1,41,0.376,0.032
4,1,42,0.371,0.0593
4,1,43,0.371,0.0588
4,1,44,0.374,0.0377
4,1,45,0.37,0.06
4,1,46,0.368,0.0637
4,1,47,0.372,0.0467
4,1,48,0.371,0.0592
4,1,49,0.375,0.0269
5,2,0,0.361,0.12
5,2,1,0.353,0.148
5,2,2,0.364,0.0941
5,2,3,0.367,0.0793
5,2,4,0.358,0.12
5,2,5,0.355,0.136
5,2,6,0.351,0.1529
5,2,7,0.358,0.12
5,2,8,0.359,0.1098
5,2,9,0.358,0.12
5,2,10,0.359,0.12
5,2,11,0.354,0.1357
5,2,12,0.358,0.12
5,2,13,0.358,0.1273
5,2,14,0.356,0.135
5,2,15,0.357,0.126
5,2,16,0.354,0.138
5,2,17,0.363,0.0944
5,2,18,0.357,0.1265
5,2,19,0.371,0.0493
5,2,20,0.352,0.1485
5,2,21,0.357,0.1265
5,2,22,0.352,0.148
5,2,23,0.358,0.1244
5,2,24,0.366,0.0704
5,2,25,0.358,0.126
5,2,26,0.366,0.0824
5,2,27,0.357,0.1273
5,2,28,0.367,0.0816
5,2,29,0.357,0.12
5,2,30,0.359,0.12
5,2,31,0.358,0.1161
5,2,32,0.362,0.1061
5,2,33,0.351,0.152
5,2,34,0.368,0.0714
5,2,35,0.357,0.1269
5,2,36,0.358,0.12
5,2,37,0.359,0.12
5,2,38,0.359,0.1206
5,2,39,0.352,0.148
5,2,40,0.368,0.0744
5,2,41,0.361,0.1008
5,2,42,0.367,0.0812
5,2,43,0.356,0.1341
5,2,44,0.368,0.0744
5,2,45,0.353,0.1477
5,2,46,0.351,0.1456
5,2,47,0.357,0.12
5,2,48,0.356,0.1345
5,2,49,0.36,0.123
5,1,0,0.378,0.0269
5,1,1,0.373,0.0519
5,1,2,0.374,0.0491
5,1,3,0.374,0.04
5,1,4,0.368,0.0637
5,1,5,0.377,0.0296
5,1,6,0.375,0.04
5,1,7,0.365,0.0776
5,1,8,0.37,0.0685
5,1,9,0.37,0.0692
5,1,10,0.377,0.032
5,1,11,0.37,0.0642
5,1,12,0.368,0.0661
5,1,13,0.37,0.0664
5,1,14,0.37,0.0576
5,1,15,0.372,0.0528
5,1,16,0.375,0.0456
5,1,17,0.37,0.0624
5,1,18,0.37,0.0649
5,1,19,0.369,0.0797
5,1,20,0.376,0.0341
5,1,21,0.37,0.0604
5,1,22,0.37,0.0592
5,1,23,0.365,0.0829
5,1,24,0.367,0.0768
5,1,25,0.376,0.032
5,1,26,0.367,0.0736
5,1,27,0.372,0.0597
5,1,28,0.375,0.032
5,1,29,0.373,0.05
5,1,30,0.373,0.0453
5,1,31,0.37,0.0674
5,1,32,0.378,0.032
5,1,33,0.37,0.0612
5,1,34,0.369,0.074
5,1,35,0.376,0.04
5,1,36,0.367,0.0744
5,1,37,0.367,0.0808
5,1,38,0.368,0.0689
5,1,39,0.368,0.064
5,1,40,0.368,0.0672
5,1,41,0.368,0.064
5,1,42,0.373,0.0538
5,1,43,0.371,0.0572
5,1,44,0.373,0.0444
5,1,45,0.372,0.05
5,1,46,0.372,0.0605
5,1,47,0.373,0.05
5,1,48,0.366,0.08
5,1,49,0.37,0.051
5,3,0,0.346,0.184
5,3,1,0.36,0.1109
5,3,2,0.351,0.1525
5,3,3,0.357,0.1227
5,3,4,0.36,0.1148
5,3,5,0.354,0.142
5,3,6,0.349,0.1656
5,3,7,0.35,0.1676
5,3,8,0.351,0.1557
5,3,9,0.352,0.152
5,3,10,0.354,0.144
5,3,11,0.345,0.184
5,3,12,0.357,0.1268
5,3,13,0.352,0.1561
5,3,14,0.354,0.1473
5,3,15,0.357,0.1408
5,3,16,0.36,0.1254
5,3,17,0.36,0.1145
5,3,18,0.348,0.1733
5,3,19,0.361,0.1162
5,3,20,0.347,0.1674
5,3,21,0.353,0.1444
5,3,22,0.346,0.176
5,3,23,0.346,0.1784
5,3,24,0.351,0.1565
5,3,25,0.36,0.1117
5,3,26,0.366,0.0885
5,3,27,0.364,0.0968
5,3,28,0.351,0.1493
5,3,29,0.346,0.184
5,3,30,0.347,0.1737
5,3,31,0.358,0.1281
5,3,32,0.352,0.1469
5,3,33,0.355,0.1435
5,3,34,0.347,0.176
5,3,35,0.36,0.1112
5,3,36,0.362,0.102
5,3,37,0.353,0.1464
5,3,38,0.357,0.1322
5,3,39,0.352,0.1656
5,3,40,0.348,0.1732
5,3,41,0.351,0.1595
5,3,42,0.358,0.1174
5,3,43,0.36,0.1195
5,3,44,0.349,0.1636
5,3,45,0.364,0.0894
5,3,46,0.357,0.1338
5,3,47,0.36,0.1084
5,3,48,0.352,0.1528
5,3,49,0.36,0.115
1,1,0,0.605,0.0925
1,1,1,0.62,0.1619
1,1,2,0.61,0.1239
1,1,3,0.601,0.2783
1,1,4,0.603,0.2329
1,1,5,0.603,0.2438
1,1,6,0.595,0.2566
1,1,7,0.604,0.1598
1,1,8,0.611,0.1726
1,1,9,0.623,0.1755
1,1,10,0.616,0.1912
1,1,11,0.61,0.2146
1,1,12,0.613,0.1855
1,1,13,0.616,0.0813
1,1,14,0.606,0.1282
1,1,15,0.607,0.1452
1,1,16,0.617,0.127
1,1,17,0.61,0.1342
1,1,18,0.615,0.18
1,1,19,0.611,0.1069
1,1,20,0.618,0.1905
1,1,21,0.609,0.1736
1,1,22,0.609,0.23
1,1,23,0.615,0.2422
1,1,24,0.625,0.0812
1,1,25,0.603,0.1749
1,1,26,0.631,0.0529
1,1,27,0.615,0.1144
1,1,28,0.603,0.2484
1,1,29,0.608,0.1492
1,1,30,0.622,0.1741
1,1,31,0.598,0.1585
1,1,32,0.622,0.1924
1,1,33,0.609,0.1924
1,1,34,0.613,0.2108
1,1,35,0.615,0.0576
1,1,36,0.609,0.1719
1,1,37,0.614,0.2314
1,1,38,0.601,0.246
1,1,39,0.604,0.2422
1,1,40,0.617,0.0434
1,1,41,0.62,0.226
1,1,42,0.625,0.1944
1,1,43,0.606,0.1998
1,1,44,0.607,0.2585
1,1,45,0.594,0.3002
1,1,46,0.607,0.23
1,1,47,0.618,0.0563
1,1,48,0.607,0.1862
1,1,49,0.611,0.1957
1,4,0,0.615,0.0452
1,4,1,0.612,0.112
1,4,2,0.605,0.069
1,4,3,0.602,0.2674
1,4,4,0.61,0.2482
1,4,5,0.622,0.1163
1,4,6,0.623,0.0798
1,4,7,0.632,0.0201
1,4,8,0.621,0.0456
1,4,9,0.623,0.1281
1,4,10,0.619,0.2061
1,4,11,0.609,0.2193
1,4,12,0.609,0.1175
1,4,13,0.603,0.1841
1,4,14,0.621,0.1294
1,4,15,0.616,0.1625
1,4,16,0.609,0.1334
1,4,17,0.617,0.0855
1,4,18,0.603,0.2811
1,4,19,0.599,0.0686
1,4,20,0.618,0.0687
1,4,21,0.6,0.2747
1,4,22,0.62,0.0488
1,4,23,0.61,0.112
1,4,24,0.605,0.2066
1,4,25,0.611,0.1107
1,4,26,0.617,0.0625
1,4,27,0.611,0.1778
1,4,28,0.612,0.083
1,4,29,0.603,0.164
1,4,30,0.618,0.1381
1,4,31,0.62,0.1791
1,4,32,0.602,0.1199
1,4,33,0.61,0.1799
1,4,34,0.612,0.1454
1,4,35,0.603,0.212
1,4,36,0.618,0.1131
1,4,37,0.63,0.0622
1,4,38,0.627,0.1711
1,4,39,0.615,0.1293
1,4,40,0.604,0.1719
1,4,41,0.617,0.0386
1,4,42,0.604,0.0966
1,4,43,0.609,0.1513
1,4,44,0.613,0.2243
1,4,45,0.6,0.0612
1,4,46,0.602,0.2265
1,4,47,0.607,0.25
1,4,48,0.601,0.2265
1,4,49,0.629,0.1404
1,2,0,0.625,0.0856
1,2,1,0.613,0.1453
1,2,2,0.597,0.1141
1,2,3,0.607,0.1484
1,2,4,0.59,0.1046
1,2,5,0.618,0.0555
1,2,6,0.598,0.2736
1,2,7,0.606,0.1403
1,2,8,0.598,0.1468
1,2,9,0.608,0.0567
1,2,10,0.624,0.0269
1,2,11,0.614,0.1824
1,2,12,0.611,0.0851
1,2,13,0.612,0.1049
1,2,14,0.606,0.1381
1,2,15,0.618,0.1842
1,2,16,0.61,0.2236
1,2,17,0.614,0.0657
1,2,18,0.604,0.2415
1,2,19,0.613,0.0251
1,2,20,0.604,0.2076
1,2,21,0.61,0.2208
1,2,22,0.601,0.2241
1,2,23,0.615,0.1815
1,2,24,0.618,0.1564
1,2,25,0.609,0.0645
1,2,26,0.615,0.1197
1,2,27,0.61,0.1518
1,2,28,0.609,0.09
1,2,29,0.615,0.1629
1,2,30,0.612,0.0781
1,2,31,0.615,0.0885
1,2,32,0.604,0.1422
1,2,33,0.625,0.0676
1,2,34,0.609,0.2411
1,2,35,0.608,0.1622
1,2,36,0.608,0.0634
1,2,37,0.606,0.2005
1,2,38,0.601,0.1791
1,2,39,0.611,0.2394
1,2,40,0.613,0.1593
1,2,41,0.609,0.1863
1,2,42,0.615,0.1037
1,2,43,0.609,0.1084
1,2,44,0.613,0.1507
1,2,45,0.615,0.1468
1,2,46,0.61,0.047
1,2,47,0.6,0.1666
1,2,48,0.601,0.2689
1,2,49,0.626,0.0224
2,1,0,0.631,0.1509
2,1,1,0.609,0.2059
2,1,2,0.609,0.1356
2,1,3,0.606,0.2797
2,1,4,0.601,0.2739
2,1,5,0.61,0.2342
2,1,6,0.607,0.1891
2,1,7,0.627,0.1375
2,1,8,0.616,0.0739
2,1,9,0.607,0.1447
2,1,10,0.604,0.1791
2,1,11,0.605,0.1927
2,1,12,0.609,0.0645
2,1,13,0.61,0.1916
2,1,14,0.629,0.1014
2,1,15,0.6,0.1824
2,1,16,0.611,0.2154
2,1,17,0.605,0.1678
2,1,18,0.617,0.0486
2,1,19,0.619,0.147
2,1,20,0.626,0.1534
2,1,21,0.61,0.1799
2,1,22,0.609,0.1841
2,1,23,0.622,0.1461
2,1,24,0.616,0.1654
2,1,25,0.613,0.2189
2,1,26,0.611,0.1336
2,1,27,0.61,0.1429
2,1,28,0.616,0.1155
2,1,29,0.615,0.1479
2,1,30,0.615,0.1529
2,1,31,0.61,0.1584
2,1,32,0.607,0.182
2,1,33,0.614,0.1048
2,1,34,0.619,0.0556
2,1,35,0.615,0.1732
2,1,36,0.618,0.1699
2,1,37,0.61,0.1999
2,1,38,0.606,0.0748
2,1,39,0.61,0.0895
2,1,40,0.611,0.1702
2,1,41,0.603,0.2831
2,1,42,0.614,0.1644
2,1,43,0.615,0.1819
2,1,44,0.605,0.1841
2,1,45,0.606,0.155
