round,client,step,reward,delay,energy,migration
1,4,0,-0.22036951854228976,0.1986,0.0452,1
1,4,1,-0.21962610511779784,0.1626,0.112,1
1,4,2,-0.24448807364702224,0.211,0.069,1
1,4,3,-0.22708033828735352,0.0927,0.2674,1
1,4,4,-0.20450810290575028,0.0792,0.2482,1
1,4,5,-0.18502145242094994,0.1265,0.1163,1
1,4,6,-0.19395926494598387,0.1532,0.0798,1
1,4,7,-0.16111191308498382,0.1515,0.0201,1
1,4,8,-0.19989705448150633,0.1764,0.0456,1
1,4,9,-0.17800654306411742,0.1131,0.1281,1
1,4,10,-0.17884262704253198,0.0748,0.2061,1
1,4,11,-0.20797227820158007,0.0974,0.2193,1
1,4,12,-0.2289195273369551,0.1705,0.1175,1
1,4,13,-0.2352807872593403,0.1422,0.1841,1
1,4,14,-0.18250650495290754,0.1178,0.1294,1
1,4,15,-0.19754622282981874,0.1162,0.1625,1
1,4,16,-0.2212761893987656,0.1539,0.1334,1
1,4,17,-0.2024981012374163,0.1602,0.0855,1
1,4,18,-0.21595321627855302,0.0743,0.2811,1
1,4,19,-0.26774270468950273,0.2346,0.0686,1
1,4,20,-0.2058259270131588,0.1715,0.0687,1
1,4,21,-0.23022017827033997,0.0917,0.2747,1
1,4,22,-0.1990979134440422,0.1751,0.0488,1
1,4,23,-0.2182319926738739,0.1626,0.112,1
1,4,24,-0.22075382019281387,0.1166,0.2066,1
1,4,25,-0.2226851511627436,0.1678,0.1107,1
1,4,26,-0.2053310811251402,0.1746,0.0625,1
1,4,27,-0.20675552153587343,0.1176,0.1778,1
1,4,28,-0.21207186430692676,0.171,0.083,1
1,4,29,-0.2369675665795803,0.1551,0.164,1
1,4,30,-0.1939452884852886,0.124,0.1381,1
1,4,31,-0.18644942492246627,0.0967,0.1791,1
1,4,32,-0.2523069664359092,0.1914,0.1199,1
1,4,33,-0.2129966670870781,0.1223,0.1799,1
1,4,34,-0.2149082568883896,0.1418,0.1454,1
1,4,35,-0.23135168838500977,0.1241,0.212,1
1,4,36,-0.1970758372545242,0.1397,0.1131,1
1,4,37,-0.15998341678977013,0.129,0.0622,1
1,4,38,-0.16038388693928718,0.074,0.1711,1
1,4,39,-0.20786805819869045,0.1423,0.1293,1
1,4,40,-0.23297928857207298,0.1459,0.1719,1
1,4,41,-0.21433002341985705,0.1956,0.0386,1
1,4,42,-0.24965919988155366,0.2003,0.0966,1
1,4,43,-0.22244475538134575,0.1469,0.1513,1
1,4,44,-0.19497192839384078,0.0817,0.2243,1
1,4,45,-0.25768299472332,0.2277,0.0612,1
1,4,46,-0.23619370815157892,0.122,0.2265,1
1,4,47,-0.2121301513314247,0.0863,0.25,1
1,4,48,-0.2358513191342354,0.122,0.2265,1
1,4,49,-0.15499752459526062,0.084,0.1404,1
1,2,0,-0.1810112708568573,0.1374,0.0856,1
1,2,1,-0.20560079569220543,0.1329,0.1453,1
1,2,2,-0.2668486089408398,0.2097,0.1141,1
1,2,3,-0.2218684980869293,0.1478,0.1484,1
1,2,4,-0.2887782978057861,0.2369,0.1046,1
1,2,5,-0.19852387040555475,0.1712,0.0555,1
1,2,6,-0.2394115838646889,0.1013,0.2736,1
1,2,7,-0.23033094397187234,0.1601,0.1403,1
1,2,8,-0.260152909219265,0.1871,0.1468,1
1,2,9,-0.23368032060563565,0.2059,0.0567,1
1,2,10,-0.18784356835484506,0.1748,0.0269,1
1,2,11,-0.19625456833839416,0.1049,0.1824,1
1,2,12,-0.22383492667078972,0.1803,0.0851,1
1,2,13,-0.21790089325308798,0.1657,0.1049,1
1,2,14,-0.23375483787059786,0.1642,0.1381,1
1,2,15,-0.17679487037658692,0.0837,0.1842,1
1,2,16,-0.2068762594461441,0.0948,0.2236,1
1,2,17,-0.21510766374170778,0.1827,0.0657,1
1,2,18,-0.21872639130949972,0.0968,0.2415,1
1,2,19,-0.2303699666261673,0.2186,0.0251,1
1,2,20,-0.22457086000442505,0.1204,0.2076,1
1,2,21,-0.2087729646086693,0.0973,0.2208,1
1,2,22,-0.2344332472324371,0.122,0.2241,1
1,2,23,-0.19346349033713342,0.1018,0.1815,1
1,2,24,-0.18920399551391603,0.1106,0.1564,1
1,2,25,-0.23291425296366214,0.2011,0.0645,1
1,2,26,-0.20565971437096595,0.1449,0.1197,1
1,2,27,-0.21100072944164275,0.1351,0.1518,1
1,2,28,-0.2322779383420944,0.1876,0.09,1
1,2,29,-0.20191942000985144,0.1204,0.1629,1
1,2,30,-0.2199450167030096,0.1813,0.0781,1
1,2,31,-0.20917891169786457,0.1647,0.0885,1
1,2,32,-0.23957367900013923,0.1688,0.1422,1
1,2,33,-0.18546658980846403,0.152,0.0676,1
1,2,34,-0.20564663333296776,0.084,0.2411,1
1,2,35,-0.2297758551597595,0.1485,0.1622,1
1,2,36,-0.23718564273118972,0.2062,0.0634,1
1,2,37,-0.21883581951260567,0.1185,0.2005,1
1,2,38,-0.23919795632362365,0.1495,0.1791,1
1,2,39,-0.19788551044464114,0.0777,0.2394,1
1,2,40,-0.20752948897480966,0.1279,0.1593,1
1,2,41,-0.2161733247101307,0.122,0.1863,1
1,2,42,-0.20953865243494513,0.1579,0.1037,1
1,2,43,-0.22554181566238402,0.1714,0.1084,1
1,2,44,-0.20832477390766144,0.1329,0.1507,1
1,2,45,-0.20022663971185684,0.1267,0.1468,1
1,2,46,-0.23418176447153088,0.2098,0.047,1
1,2,47,-0.2479763193130493,0.1647,0.1666,1
1,2,48,-0.22806301656365394,0.0923,0.2689,1
1,2,49,-0.1842111964702606,0.1736,0.0224,1
2,1,0,-0.1509229980826378,0.0747,0.1509,1
2,1,1,-0.21193260846734047,0.1087,0.2059,1
2,1,2,-0.21506438026428223,0.1461,0.1356,1
2,1,3,-0.209299136030674,0.0688,0.2797,1
2,1,4,-0.2233527418553829,0.0851,0.2739,1
2,1,5,-0.20428108084201813,0.086,0.2342,1
2,1,6,-0.21884733895659447,0.1241,0.1891,1
2,1,7,-0.15885520115494728,0.09,0.1375,1
2,1,8,-0.211281899780035,0.1733,0.0739,1
2,1,9,-0.2232290701031685,0.1511,0.1447,1
2,1,10,-0.23400408950448037,0.1433,0.1791,1
2,1,11,-0.22602683300971985,0.1295,0.1927,1
2,1,12,-0.22914537039399147,0.1977,0.0645,1
2,1,13,-0.20996243155002592,0.1132,0.1916,1
2,1,14,-0.16341915249824523,0.1128,0.1014,1
2,1,15,-0.24296105117797853,0.1512,0.1824,1
2,1,16,-0.19923631618022916,0.0905,0.2154,1
2,1,17,-0.22924508409500122,0.1445,0.1678,1
2,1,18,-0.21567664502859116,0.191,0.0486,1
2,1,19,-0.19412857332229613,0.1197,0.147,1
2,1,20,-0.16738037316799165,0.0906,0.1534,1
2,1,21,-0.21218310493826867,0.1222,0.1799,1
2,1,22,-0.22065131517648698,0.1286,0.1841,1
2,1,23,-0.17742348878383638,0.1043,0.1461,1
2,1,24,-0.19902658438682558,0.1153,0.1654,1
2,1,25,-0.19679536049365998,0.0862,0.2189,1
2,1,26,-0.21596781965494155,0.1493,0.1336,1
2,1,27,-0.22138820680975912,0.1495,0.1429,1
2,1,28,-0.20912849512696266,0.1515,0.1155,1
2,1,29,-0.19569302706420422,0.1218,0.1479,1
2,1,30,-0.20125799730420113,0.1249,0.1529,1
2,1,31,-0.21202326217889786,0.1329,0.1584,1
2,1,32,-0.2200137692928314,0.1289,0.182,1
2,1,33,-0.20986982843875887,0.1577,0.1048,1
2,1,34,-0.20918183941841123,0.1808,0.0556,1
2,1,35,-0.1948332953095436,0.1081,0.1732,1
2,1,36,-0.1922186579585075,0.1062,0.1699,1
2,1,37,-0.21226380411386492,0.1121,0.1999,1
2,1,38,-0.24767850666046146,0.2094,0.0748,1
2,1,39,-0.2279256624609232,0.1837,0.0895,1
2,1,40,-0.21238479709625246,0.1269,0.1702,1
2,1,41,-0.2217698184847832,0.0789,0.2831,1
2,1,42,-0.203017728805542,0.1198,0.1644,1
2,1,43,-0.19775717416405678,0.1063,0.1819,1
2,1,44,-0.22800097097754482,0.1355,0.1841,1
2,1,45,-0.22842406597137455,0.1511,0.155,1
2,1,46,-0.17359951543807983,0.1331,0.0806,1
2,1,47,-0.20878149100542068,0.1377,0.1403,1
2,1,48,-0.2424929744005203,0.1599,0.1627,1
2,1,49,-0.18698824677467346,0.1723,0.0303,1
2,3,0,-0.19716534079313278,0.0873,0.2191,1
2,3,1,-0.2659000836968422,0.2126,0.1055,1
2,3,2,-0.22583722105026244,0.1533,0.1447,1
2,3,3,-0.2266514860332012,0.1377,0.1779,1
2,3,4,-0.23218450589776038,0.1649,0.1325,1
2,3,5,-0.23181954218149184,0.1914,0.0809,1
2,3,6,-0.2234472370147705,0.1533,0.1398,1
2,3,7,-0.20651192905306817,0.1353,0.1403,1
2,3,8,-0.19143684908747674,0.1129,0.1551,1
2,3,9,-0.22103173935413362,0.1637,0.1154,1
2,3,10,-0.20650211042165756,0.0751,0.2603,1
2,3,11,-0.23950830811858176,0.1683,0.1403,1
2,3,12,-0.2319584681391716,0.0926,0.2778,1
2,3,13,-0.24472689819335935,0.1348,0.2196,1
2,3,14,-0.24574389249086379,0.1408,0.2074,1
2,3,15,-0.23398667221069336,0.1176,0.2304,1
2,3,16,-0.22636084709465504,0.2008,0.0525,1
2,3,17,-0.21399196197390558,0.1121,0.2025,1
2,3,18,-0.23654833689332008,0.2034,0.0679,1
2,3,19,-0.22765471575260166,0.1461,0.161,1
2,3,20,-0.19851594150066376,0.1086,0.1791,1
2,3,21,-0.21920263189673422,0.145,0.1486,1
2,3,22,-0.20826838740706446,0.1741,0.0688,1
2,3,23,-0.16473849391937254,0.1234,0.0812,1
2,3,24,-0.2020810952425003,0.1759,0.0519,1
2,3,25,-0.24536254986524586,0.1748,0.1398,1
2,3,26,-0.22591773146390914,0.1329,0.1861,1
2,3,27,-0.22031145071983335,0.0823,0.2734,1
2,3,28,-0.2083572818040848,0.1433,0.1304,1
2,3,29,-0.18118280774354933,0.0614,0.2382,1
2,3,30,-0.2127221763074398,0.1196,0.1841,1
2,3,31,-0.17364633089303969,0.0955,0.156,1
2,3,32,-0.21074581260681152,0.1155,0.1902,1
2,3,33,-0.23697205429077148,0.1604,0.1528,1
2,3,34,-0.22069868203401566,0.1405,0.1583,1
2,3,35,-0.21752155298590659,0.1253,0.1821,1
2,3,36,-0.2078626770079136,0.1741,0.0688,1
2,3,37,-0.2388419321537018,0.1311,0.2154,1
2,3,38,-0.25298376029729847,0.1983,0.11,1
2,3,39,-0.2165247437119484,0.1239,0.1841,1
2,3,40,-0.19963132184743881,0.1421,0.1143,1
2,3,41,-0.2434487409710884,0.1195,0.2452,1
2,3,42,-0.21875187144279482,0.097,0.2423,1
2,3,43,-0.2458921234935522,0.1541,0.1839,1
2,3,44,-0.16612490656971932,0.072,0.1865,1
2,3,45,-0.225934197974205,0.1495,0.1518,1
2,3,46,-0.22419828739762307,0.1311,0.1841,1
2,3,47,-0.22052768182754517,0.1238,0.1929,1
2,3,48,-0.2140224336743355,0.1017,0.2237,1
2,3,49,-0.23117249023914335,0.1221,0.2168,1
2,4,0,-0.18141159500181675,0.1357,0.0915,1
2,4,1,-0.20715189197659492,0.1757,0.0631,1
2,4,2,-0.21673087113499642,0.1244,0.1825,1
2,4,3,-0.17292123274207116,0.1026,0.1391,1
2,4,4,-0.23509194177389145,0.1663,0.1381,1
2,4,5,-0.24083583970069886,0.229,0.0244,1
2,4,6,-0.1766207135617733,0.1373,0.0773,1
2,4,7,-0.23331612377166747,0.1977,0.0694,1
2,4,8,-0.2051814025640488,0.1263,0.1574,1
2,4,9,-0.16261897981166837,0.086,0.153,1
2,4,10,-0.1862648956716061,0.1228,0.1271,1
2,4,11,-0.17753162766695021,0.0895,0.1743,1
2,4,12,-0.2220058896958828,0.1466,0.151,1
2,4,13,-0.2297509950399399,0.1392,0.1791,1
2,4,14,-0.1665406984090805,0.0767,0.1791,1
2,4,15,-0.20895346619784833,0.1901,0.0387,1
2,4,16,-0.22683512266874312,0.1703,0.1112,1
2,4,17,-0.17273925300836562,0.1109,0.122,1
2,4,18,-0.23191458716392516,0.1823,0.0972,1
2,4,19,-0.21408737372159956,0.0975,0.2307,1
2,4,20,-0.2534158698499203,0.2146,0.0775,1
2,4,21,-0.20101304644942283,0.1312,0.1377,1
2,4,22,-0.23278166860342028,0.1642,0.1376,1
2,4,23,-0.24334950690865514,0.2166,0.0519,1
2,4,24,-0.22891332879960538,0.1915,0.0757,1
2,4,25,-0.2259193985313177,0.2037,0.0459,1
2,4,26,-0.1588946726381779,0.1039,0.1085,1
2,4,27,-0.2113932183086872,0.1391,0.1427,1
2,4,28,-0.20020478196144104,0.1357,0.1289,1
2,4,29,-0.22845214836597444,0.1454,0.1648,1
2,4,30,-0.2081281761288643,0.068,0.2786,1
2,4,31,-0.22085321044921877,0.0816,0.276,1
2,4,32,-0.23306407011151312,0.1495,0.1649,1
2,4,33,-0.19466208666563034,0.0817,0.2243,1
2,4,34,-0.21786874495744707,0.0949,0.2451,1
2,4,35,-0.2419384148836136,0.1849,0.1128,1
2,4,36,-0.256226034450531,0.1579,0.1954,1
2,4,37,-0.23298813328742982,0.1977,0.0694,1
2,4,38,-0.2335073725640774,0.1512,0.1623,1
2,4,39,-0.18094502251148226,0.1343,0.0937,1
2,4,40,-0.2250638127565384,0.082,0.2836,1
2,4,41,-0.22998618431687354,0.1711,0.1185,1
2,4,42,-0.21651425077915193,0.1008,0.2308,1
2,4,43,-0.19363359001874925,0.0908,0.2038,1
2,4,44,-0.2188005922794342,0.1485,0.1386,1
2,4,45,-0.21708363325595856,0.1872,0.0612,1
2,4,46,-0.23360353469848633,0.1638,0.1376,1
2,4,47,-0.19679534777998922,0.0894,0.2127,1
2,4,48,-0.2093224983215332,0.1924,0.0336,1
2,4,49,-0.21014381523132325,0.0811,0.2565,1
3,0,0,-0.22947064669132233,0.147,0.1626,1
3,0,1,-0.24543725934028626,0.1584,0.1744,1
3,0,2,-0.2208659816980362,0.2082,0.0256,1
3,0,3,-0.24075563946664333,0.1488,0.1841,1
3,0,4,-0.21910446660518645,0.1233,0.1908,1
3,0,5,-0.19412352041602135,0.0997,0.1885,1
3,0,6,-0.18579625239372255,0.1017,0.168,1
3,0,7,-0.18720102501511574,0.0972,0.1797,1
3,0,8,-0.1797156062245369,0.0705,0.2164,1
3,0,9,-0.19613331753611565,0.0881,0.2155,1
3,0,10,-0.2189166185259819,0.1885,0.0595,1
3,0,11,-0.2464267340183258,0.2168,0.0596,1
3,0,12,-0.24652350841760637,0.1834,0.1265,1
3,0,13,-0.22720682882666587,0.1369,0.1801,1
3,0,14,-0.21442686195373534,0.1141,0.2005,1
3,0,15,-0.2754759595394134,0.2148,0.1214,1
3,0,16,-0.19833715636730193,0.101,0.1944,1
3,0,17,-0.23869232382774352,0.2168,0.0428,1
3,0,18,-0.21889089431762696,0.1222,0.1912,1
3,0,19,-0.20775776888132097,0.1267,0.1608,1
3,0,20,-0.1787445466697216,0.131,0.0959,1
3,0,21,-0.20306221841573716,0.1938,0.0202,1
3,0,22,-0.23006303858757018,0.1146,0.2298,1
3,0,23,-0.20589740046858787,0.0967,0.2161,1
3,0,24,-0.20705555284023286,0.0919,0.2293,1
3,0,25,-0.2080340588092804,0.1124,0.1906,1
3,0,26,-0.20977275232672693,0.1779,0.0619,1
3,0,27,-0.1552758007287979,0.1065,0.0962,1
3,0,28,-0.20870221015810966,0.1444,0.1265,1
3,0,29,-0.18790582876205447,0.1622,0.0522,1
3,0,30,-0.18397911834716796,0.1185,0.131,1
3,0,31,-0.2135517328977585,0.1223,0.1804,1
3,0,32,-0.2270658880352974,0.183,0.0874,1
3,0,33,-0.23017820892333984,0.2059,0.0468,1
3,0,34,-0.22112564203739168,0.1663,0.1076,1
3,0,35,-0.18142190278172493,0.058,0.2449,1
3,0,36,-0.24809503255784515,0.1584,0.1797,1
3,0,37,-0.21264990863800048,0.1849,0.0566,1
3,0,38,-0.229833354473114,0.2059,0.0468,1
3,0,39,-0.20187392451167108,0.1089,0.1841,1
3,0,40,-0.21574093685150147,0.0837,0.263,1
3,0,41,-0.18132062455415726,0.0904,0.181,1
3,0,42,-0.2350927725404501,0.1432,0.1839,1
3,0,43,-0.19220481152534485,0.1198,0.1448,1
3,0,44,-0.17899178791046141,0.0962,0.1636,1
3,0,45,-0.26391344359517094,0.2334,0.0597,1
3,0,46,-0.24858371488451958,0.192,0.1111,1
3,0,47,-0.2342581907272339,0.1108,0.2446,1
3,0,48,-0.22169650946557523,0.1758,0.0919,1
3,0,49,-0.20452654592990877,0.0951,0.2164,1
3,2,0,-0.17498372543156146,0.1615,0.0279,1
3,2,1,-0.21472704191207886,0.1726,0.083,1
3,2,2,-0.2117643039226532,0.1351,0.1518,1
3,2,3,-0.20005537118911743,0.1108,0.1782,1
3,2,4,-0.23356170907616614,0.2069,0.0551,1
3,2,5,-0.1484847214758396,0.1291,0.0392,1
3,2,6,-0.15611215615868568,0.1241,0.0625,1
3,2,7,-0.21926105976104737,0.1126,0.2112,1
3,2,8,-0.2060762794017792,0.0903,0.2304,1
3,2,9,-0.21805389395356178,0.0871,0.2593,1
3,2,10,-0.21252773482203483,0.1171,0.1885,1
3,2,11,-0.24322124145627022,0.1109,0.2621,1
3,2,12,-0.2000869362473488,0.1332,0.134,1
3,2,13,-0.19430162909030912,0.0974,0.1934,1
3,2,14,-0.24640826454162598,0.1396,0.2135,1
3,2,15,-0.24688627257943152,0.1198,0.2517,1
3,2,16,-0.20674929596185684,0.1177,0.1777,1
3,2,17,-0.18898654483556748,0.1114,0.1538,1
3,2,18,-0.23514077822566035,0.1534,0.1623,1
3,2,19,-0.17367151794433594,0.0963,0.153,1
3,2,20,-0.23550845727920533,0.104,0.2608,1
3,2,21,-0.22914934096336365,0.1582,0.1424,1
3,2,22,-0.183698010879755,0.1011,0.1651,1
3,2,23,-0.1973471349298954,0.1377,0.1185,1
3,2,24,-0.22083332830667496,0.2054,0.0302,1
3,2,25,-0.20988058257102965,0.1387,0.1422,1
3,2,26,-0.22707601254880427,0.1936,0.0679,1
3,2,27,-0.2469748126924038,0.1003,0.2917,1
3,2,28,-0.22631046313643455,0.1472,0.1585,1
3,2,29,-0.2321736555099487,0.177,0.11,1
3,2,30,-0.21822185821533202,0.1777,0.0798,1
3,2,31,-0.25852929446697237,0.1642,0.1862,1
3,2,32,-0.19738777831196785,0.1526,0.0898,1
3,2,33,-0.20261923639774324,0.0791,0.2446,1
3,2,34,-0.26356161016225815,0.229,0.071,1
3,2,35,-0.23969721542596817,0.1901,0.0976,1
3,2,36,-0.20811955527961257,0.1395,0.1375,1
3,2,37,-0.20671786916255952,0.0862,0.2386,1
3,2,38,-0.22019808504581448,0.1175,0.2039,1
3,2,39,-0.1467015917778015,0.0611,0.1696,1
3,2,40,-0.20924146270751956,0.0882,0.2396,1
3,2,41,-0.22403360712528228,0.1376,0.1713,1
3,2,42,-0.18291043305397034,0.1086,0.1468,1
3,2,43,-0.26458341691792014,0.1844,0.1609,1
3,2,44,-0.23265837568044662,0.2003,0.0647,1
3,2,45,-0.24063367822766307,0.102,0.2755,1
3,2,46,-0.1677520975828171,0.0995,0.1364,1
3,2,47,-0.16213228676319125,0.0705,0.1824,1
3,2,48,-0.20106275403499604,0.1509,0.1002,1
3,2,49,-0.1960310508966446,0.1537,0.0854,1
3,4,0,-0.19224325699806213,0.1534,0.0764,1
3,4,1,-0.21614308643341065,0.1512,0.128,1
3,4,2,-0.18984985758066178,0.1065,0.1649,1
3,4,3,-0.23427922803759574,0.1532,0.1599,1
3,4,4,-0.2095886733531952,0.0688,0.2792,1
3,4,5,-0.19539342867136,0.1043,0.1815,1
3,4,6,-0.21395972764492036,0.0841,0.2572,1
3,4,7,-0.20213464239835738,0.1108,0.1822,1
3,4,8,-0.19954577837586404,0.1652,0.0679,1
3,4,9,-0.22693233181238173,0.1667,0.1185,1
3,4,10,-0.23575118474960327,0.1496,0.1699,1
3,4,11,-0.17639342222213744,0.0864,0.1785,1
3,4,12,-0.24001839824914933,0.1638,0.1526,1
3,4,13,-0.20405418384075166,0.1203,0.1675,1
3,4,14,-0.16985158171653747,0.1223,0.0936,1
3,4,15,-0.19578042281270025,0.1056,0.1791,1
3,4,16,-0.16516774790883065,0.1245,0.0816,1
3,4,17,-0.2406612348437309,0.142,0.1974,1
3,4,18,-0.21161240471005438,0.1533,0.1161,1
3,4,19,-0.2113621158838272,0.1182,0.1862,1
3,4,20,-0.20332802023887636,0.0921,0.2214,1
3,4,21,-0.2400455167889595,0.1992,0.0806,1
3,4,22,-0.1533443529009819,0.0967,0.1132,1
3,4,23,-0.224109767216444,0.1783,0.0905,1
3,4,24,-0.2185054856598377,0.1818,0.0715,1
3,4,25,-0.2407484722137451,0.0971,0.2858,1
3,4,26,-0.23132439984083175,0.2122,0.04,1
3,4,27,-0.21611298397779463,0.1445,0.1412,1
3,4,28,-0.217359949952364,0.1185,0.1963,1
3,4,29,-0.13616180902719496,0.1209,0.0309,1
3,4,30,-0.2551837269544602,0.1121,0.2834,1
3,4,31,-0.23339486511945726,0.1312,0.2042,1
3,4,32,-0.22667306831479073,0.1946,0.0651,1
3,4,33,-0.20284893944263457,0.0858,0.2331,1
3,4,34,-0.2032535170018673,0.086,0.2321,1
3,4,35,-0.22958212140500545,0.1715,0.1167,1
3,4,36,-0.17839048658013346,0.0748,0.2061,1
3,4,37,-0.22157763589620588,0.093,0.2557,1
3,4,38,-0.22205340150594713,0.1645,0.1131,1
3,4,39,-0.224718332529068,0.1756,0.0993,1
3,4,40,-0.22971390902996064,0.1392,0.1791,1
3,4,41,-0.21768196454644204,0.1959,0.0437,1
3,4,42,-0.22812094974517821,0.1445,0.167,1
3,4,43,-0.20762430238723756,0.1252,0.1648,1
3,4,44,-0.249767678797245,0.1399,0.2172,1
3,4,45,-0.2077497991800308,0.1377,0.1403,1
3,4,46,-0.26003655670285225,0.1693,0.1791,1
3,4,47,-0.21292347164154052,0.1385,0.1474,1
3,4,48,-0.19846047341823578,0.1579,0.0817,1
3,4,49,-0.24270761070251465,0.2269,0.0318,1
4,0,0,-0.22155238119065762,0.1515,0.1403,1
4,0,1,-0.25165493702888486,0.1859,0.1322,1
4,0,2,-0.20092231718301773,0.1115,0.1767,1
4,0,3,-0.19229025865793228,0.0775,0.2289,1
4,0,4,-0.23887276988625525,0.1351,0.2049,1
4,0,5,-0.25618448535799976,0.2261,0.0624,1
4,0,6,-0.2598731632590294,0.1579,0.2016,1
4,0,7,-0.21915506824851036,0.1885,0.0595,1
4,0,8,-0.18466172814369203,0.1251,0.1193,1
4,0,9,-0.2256634754955769,0.1915,0.0673,1
4,0,10,-0.21587174121737482,0.1663,0.0997,1
4,0,11,-0.22307845007777216,0.2069,0.0321,1
4,0,12,-0.22007673525214194,0.1513,0.138,1
4,0,13,-0.20910159347653387,0.0792,0.2573,1
4,0,14,-0.2262510120868683,0.1572,0.1376,1
4,0,15,-0.20091540151834486,0.086,0.2279,1
4,0,16,-0.1880718344569206,0.1413,0.0935,1
4,0,17,-0.16817560985088348,0.0636,0.2086,1
4,0,18,-0.2211154300630093,0.1208,0.2005,1
4,0,19,-0.20087964962124824,0.09,0.2213,1
4,0,20,-0.1875689019680023,0.1141,0.1454,1
4,0,21,-0.23429649031162264,0.1642,0.1381,1
4,0,22,-0.2390725577026606,0.1647,0.1491,1
4,0,23,-0.18538384019136428,0.1553,0.0591,1
4,0,24,-0.208052008920908,0.1197,0.1767,1
4,0,25,-0.1681714207470417,0.0864,0.1633,1
4,0,26,-0.20828131194114685,0.178,0.0588,1
4,0,27,-0.20147670164108275,0.1137,0.1734,1
4,0,28,-0.17894880937337876,0.0703,0.216,1
4,0,29,-0.23877411908507348,0.1469,0.1839,1
4,0,30,-0.20234597971141338,0.1426,0.1199,1
4,0,31,-0.21512684136033058,0.1534,0.1229,1
4,0,32,-0.25577090260386465,0.1064,0.2961,1
4,0,33,-0.20914521954655646,0.1422,0.1342,1
4,0,34,-0.23001552009582518,0.1465,0.165,1
4,0,35,-0.2437470733642578,0.095,0.2964,1
4,0,36,-0.1939538432121277,0.0633,0.259,1
4,0,37,-0.2041594082176685,0.0681,0.2699,1
4,0,38,-0.2102777292728424,0.1267,0.167,1
4,0,39,-0.22275044082999232,0.1663,0.1136,1
4,0,40,-0.16384860761165618,0.0691,0.1877,1
4,0,41,-0.24531623526513577,0.2076,0.0765,1
4,0,42,-0.21797625760138034,0.1683,0.1001,1
4,0,43,-0.23579594957232472,0.1399,0.1893,1
4,0,44,-0.20569281476140022,0.064,0.2813,1
4,0,45,-0.25958620080947875,0.1274,0.2616,1
4,0,46,-0.2424258088827133,0.2054,0.073,1
4,0,47,-0.22121724712252616,0.1544,0.1339,1
4,0,48,-0.20758074693381787,0.1557,0.1045,1
4,0,49,-0.2461137545585632,0.1245,0.2412,1
4,4,0,-0.2153531500160694,0.1832,0.0633,1
4,4,1,-0.24007911477684973,0.2032,0.0747,1
